itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_recolte,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,notes
Ail plant. automne,Ail,Alliacées,Allium sativum,,42,46,2,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Ail plant. printemps,Ail,Alliacées,Allium sativum,,10,14,22,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-AIL-01,Ail,Alliacées,Allium sativum,Plein champ,42,46,2,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Ail,Ail,Alliacées,Allium sativum,,12,16,24,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Aneth,Aneth,Apiaceae,,,15,19,27,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Aubergine,Aubergine,Solanacées,Solanum melongena,,7,11,27,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-AUB-01,Aubergine,Solanacées,Solanum melongena,Serre,6,10,26,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Aubergine,Aubergine,Solanacées,Solanum melongena,,6,10,26,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Basilic,Basilic,,Ocimum basilicum,,6,10,18,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-BAS-01,Basilic,,Ocimum basilicum,Serre,12,16,24,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave plant. automne,Betterave,Chénopodiacées,Beta vulgaris,Serre,33,37,45,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
