id,espece,fournisseur,semaineRecolte_actuel,semaineRecolte_AI,dureeRecolte_actuel,dureeRecolte_AI,nbGrainesG_actuel,nbGrainesG_AI,prixGraine_actuel,prixGraine_AI,prixVenteKg_AI,circuit_AI,description_actuelle,description_AI,sources_AI
Ail Cledor,Ail,,,30.0,,4.0,,1.0,,4.5,16.6,Court / AMAP / Marché,,"Bulbe, plantation automne/printemps (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Ail Rose de Lautrec,Ail,,,30.0,,4.0,,1.0,,4.5,16.6,Court / AMAP / Marché,Ail rose français,"Bulbe, plantation automne/printemps (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Aubergine Barbentane,Aubergine,,,30.0,,4.0,250.0,250.0,,4.5,5.0,Court / AMAP / Marché,,Exigeante en chaleur (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Aubergine Uriase,Aubergine,,,30.0,,4.0,250.0,250.0,,4.5,5.0,Court / AMAP / Marché,,Exigeante en chaleur (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Aubergine Violette,Aubergine,Kokopelli,,30.0,,4.0,,250.0,,4.5,5.0,Court / AMAP / Marché,Aubergine classique longue,Exigeante en chaleur (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Aubergine japonaise de la levée,Aubergine,,,30.0,,4.0,250.0,250.0,,4.5,5.0,Court / AMAP / Marché,,Exigeante en chaleur (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Aubergine-Violette longue,Aubergine,Germinance,,30.0,,4.0,200.0,250.0,,4.5,5.0,Court / AMAP / Marché,,Exigeante en chaleur (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Basilic Grand Vert,Basilic,Germinance,,30.0,,4.0,,700.0,,4.5,40.0,Court / AMAP / Marché,Basilic classique,Aromatique frileuse (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Batavia reine des glaces,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Betterave 3 root grex,Betterave,,,30.0,,4.0,50.0,60.0,,4.5,3.41,Court / AMAP / Marché,,Racine rustique (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Betterave Chioggia,Betterave,Kokopelli,,30.0,,4.0,50.0,60.0,,4.5,3.41,Court / AMAP / Marché,Betterave à cercles roses et blancs,Racine rustique (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Betterave Detroit,Betterave,,,30.0,,4.0,50.0,60.0,,4.5,3.41,Court / AMAP / Marché,,Racine rustique (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Betterave Robushka,Betterave,,,30.0,,4.0,50.0,60.0,,4.5,3.41,Court / AMAP / Marché,,Racine rustique (Variété sélectionnée),"Kokopelli, Germinance, RNM"
