itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_implantation_debut,semaine_implantation_fin,semaine_recolte,semaine_recolte_fin,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,implantation,forcage,zone_climat,contexte_climatique,statut_validation,actif,source_reference,source_url,source_record_id,source_version,source_licence,derniere_revision,commentaire_agronome,notes
Acérola (cerise des Antilles) — equatorial,Acérola (cerise des Antilles),Malpighiaceae,Malpighia emarginata,,,15,,,24,,16,,365,,300,,,,,equatorial,,a_revoir,t,,,,,,,"","Plaine littorale de Guyane, chaleur et humidité constantes. Plantation de boutures en début des pluies (avril, ~sem. 15). Plusieurs flushs de fructification par an ; pic principal après les fortes pluies (juin-sept.), dé"
Ail-automne,Ail,Alliaceae,Allium sativum,Plein champ,,46,,,26,,4,,224,2,12,30,,Plantation,,,,a_revoir,t,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15 14:20:20.025,"Plantation des caieux à l'automne, vernalisation hivernale, récolte juin-juillet (S25-S28). \\n Corrigé 2026-05-14 (audit Marc) : récolte était S2 (janvier), aberrant. Source ITAB : ail planté oct → récolte juin/juillet.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Ail-printemps,Ail,Alliaceae,Allium sativum,Plein champ,,14,,,30,,4,,112,2,12,30,,Plantation,,,,a_revoir,t,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15 14:20:20.025,"Plantation printanière des caieux, récolte mi-juillet à fin août (S28-S32).","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Ananas — antilles,Ananas,Bromeliaceae,Ananas comosus,,,24,,,26,,8,,600,,40,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Plantation des rejets en début d'hivernage (juin, sem. 24) pour profiter des pluies d'installation ; enracinement facile sans arrosage lourd. Floraison naturelle pendant le carême frais (déc.-janv.), récolte l'année suiv"
Ananas — austral,Ananas,Bromeliaceae,Ananas comosus,,,42,,,49,,6,,510,,35,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Plantation des rejets en début de saison chaude et humide (octobre, S42) pour un enracinement avant les pluies d'été. Récolte principale de l'ananas Victoria groupée en été austral (novembre-janvier, pic S49) 15 à 18 moi"
Ananas — equatorial,Ananas,Bromeliaceae,Ananas comosus,,,16,,,32,,6,,500,,35,,,,,equatorial,,a_revoir,t,,,,,,,"","Guyane, plaine littorale (0-50 m), sols ferralitiques acides bien drainés, pluvio 2500-3500 mm/an. Plantation des rejets en début de grande saison des pluies (avril, ~sem. 16) pour un bon enracinement. La floraison natur"
Aneth,Aneth,Apiaceae,Anethum graveolens,Plein champ,15,,,,27,,4,,84,3,18,27,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Aromatique semis direct ou godet. Sol drainé, exposition ensoleillée. Récolte échelonnée des feuilles fraîches.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Arbre à pain — antilles,Arbre à pain,Moraceae,Artocarpus altilis,,,25,,,28,,16,,1460,,1100,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Grand arbre à réserver aux grandes parcelles. Récolte principale en hivernage (juillet-octobre, S28-42) + fructification secondaire en carême. Strictement tropical, gélif. Plantation début hivernage."
Arbre à pain — austral,Arbre à pain,Moraceae,Artocarpus altilis,,,46,,,48,,20,,1460,,900,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Saison principale en plein été austral (nov.-avril) avec une seconde production plus faible. Espèce pilier des jardins polynésiens et wallisiens ; plantation par drageons au début des pluies, sols profonds et humides."
Arbre à pain — equatorial,Arbre à pain,Moraceae,Artocarpus altilis,,,15,,,6,,16,,1460,,1000,,,,,equatorial,,a_revoir,t,,,,,,,"","Multiplication par rejets racinaires (cultivars sans graines). Grand arbre : prévoir 10 m. Récolte principale en début d'année (fév-mai), seconde vague plus faible en cours d'année. Fruit consommé cuit (féculent). Très p"
Aubergine — antilles,Aubergine,Solanaceae,Solanum melongena,,6,,,,20,,12,,100,,60,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Semis en pépinière en carême, repiquage à l'entrée des pluies pour une production étalée sur l'hivernage. Culture gourmande en azote et en eau ; forte pression des ravageurs (doryphore tropical, acariens, mouches) à surv"
Aubergine-plein-champ,Aubergine,Solanaceae,Solanum melongena,,6,21,,,32,,12,91,77,1,63,94,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:20:20.025, \\n [2026-05-14] Aubergine : espacement arrondi 63 → 60 cm.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Aubergine-serre,Aubergine,Solanaceae,Solanum melongena,Sous abri,5,14,,,24,,18,60,130,1,63,94,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:20:20.025, \\n [2026-05-14] Aubergine : espacement arrondi 63 → 60 cm.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
