itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_recolte,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,notes
Ail plant. automne,Ail,Alliacées,Allium sativum,,42,46,27,3,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Ail plant. printemps,Ail,Alliacées,Allium sativum,,10,14,27,3,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-AIL-01,Ail,Alliacées,Allium sativum,Plein champ,42,46,27,3,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Ail,Ail,Alliacées,Allium sativum,,12,16,24,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Aneth,Aneth,Apiaceae,,,15,19,27,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Aubergine,Aubergine,Solanacées,Solanum melongena,,7,11,27,4,4,20,1,60,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-AUB-01,Aubergine,Solanacées,Solanum melongena,Sous abri,6,10,26,4,4,20,1,60,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Aubergine,Aubergine,Solanacées,Solanum melongena,,6,10,26,4,4,20,1,60,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Basilic,Basilic,,Ocimum basilicum,,6,10,18,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-BAS-01,Basilic,,Ocimum basilicum,Sous abri,12,16,24,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave plant. automne,Betterave,Chénopodiacées,Beta vulgaris,Sous abri,33,37,45,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave plant. printemps,Betterave,Chénopodiacées,Beta vulgaris,Plein champ,10,14,22,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-BET-01,Betterave,Chénopodiacées,Beta vulgaris,Plein champ,14,18,26,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Betterave,Betterave,Chénopodiacées,Beta vulgaris,,14,18,26,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Blette,Blette,Chénopodiacées,Beta vulgaris var. cicla,Plein champ,23,27,35,4,4,12,2,35,52,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-BLE-01,Blette,Chénopodiacées,Beta vulgaris var. cicla,Plein champ,14,18,26,4,4,12,2,35,52,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Bourrache,Bourrache,Boraginaceae,,,10,14,22,4,4,12,1,44,66,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Brocoli,Brocoli,Brassicacées,,,14,18,26,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Capucine,Capucine,Tropaeolaceae,,,16,20,28,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte pleine terre,Carotte,Apiaceae,Daucus carota,Plein champ,14,18,28,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte pleine terre conservation,Carotte,Apiaceae,Daucus carota,Plein champ,20,24,34,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte serre,Carotte,Apiaceae,Daucus carota,Sous abri,5,9,19,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte serre conservation,Carotte,Apiaceae,Daucus carota,Sous abri,40,44,2,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CAR-01,Carotte,Apiaceae,Daucus carota,Plein champ,12,16,26,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CAR-02,Carotte,Apiaceae,Daucus carota,Plein champ,20,24,34,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Carotte-automne,Carotte,Apiaceae,Daucus carota,,24,28,38,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Carotte-printemps,Carotte,Apiaceae,Daucus carota,,12,16,26,4,4,14,4,5,25,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chicorée frisée,Chicorée frisée,Asteraceae,,,16,20,28,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chicorée sauvage,Chicorée sauvage,Asteraceae,,,22,26,34,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CHO-01,Chou,Brassicacées,Brassica oleracea,Plein champ,14,18,26,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou brocoli,Chou brocoli,Brassicaceae,,Plein champ,10,14,22,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
