itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_implantation_debut,semaine_implantation_fin,semaine_recolte,semaine_recolte_fin,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,implantation,forcage,zone_climat,contexte_climatique,statut_validation,actif,source_reference,source_url,source_record_id,source_version,source_licence,derniere_revision,commentaire_agronome,notes
Acérola (cerise des Antilles) — equatorial,Acérola (cerise des Antilles),Malpighiaceae,Malpighia emarginata,,,15,,,24,,16,,365,,300,,,,,equatorial,,a_revoir,true,,,,,,,,"Plaine littorale de Guyane, chaleur et humidité constantes. Plantation de boutures en début des pluies (avril, ~sem. 15). Plusieurs flushs de fructification par an ; pic principal après les fortes pluies (juin-sept.), dé"
Ail-automne,Ail,Alliaceae,Allium sativum,Plein champ,,46,,,26,,4,,224,2,12,30,,,,,,a_revoir,true,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15T14:20:20.025Z,"Plantation des caieux à l'automne, vernalisation hivernale, récolte juin-juillet (S25-S28). \n Corrigé 2026-05-14 (audit Marc) : récolte était S2 (janvier), aberrant. Source ITAB : ail planté oct → récolte juin/juillet.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Ail-printemps,Ail,Alliaceae,Allium sativum,Plein champ,,14,,,30,,4,,112,2,12,30,,,,,,a_revoir,true,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15T14:20:20.025Z,"Plantation printanière des caieux, récolte mi-juillet à fin août (S28-S32).","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0008,Ail,Alliaceae,Allium sativum,Sous abri,,44,44,48,27,31,5,,245,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0008,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail conservation — Ail d’automne sec.,
INRAE-MESCLUN-0009,Ail,Alliaceae,Allium sativum,Plein champ,,40,40,42,27,31,5,,280,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0009,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail conservation — Ail d’automne sec.,
INRAE-MESCLUN-0010,Ail,Alliaceae,Allium sativum,Plein champ,,44,44,48,29,33,5,,259,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0010,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail conservation — Ail d’automne sec.,
INRAE-MESCLUN-0011,Ail,Alliaceae,Allium sativum,Sous abri,,3,3,7,29,33,5,,182,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0011,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail conservation — Ail de printemps sec.,
INRAE-MESCLUN-0012,Ail,Alliaceae,Allium sativum,Plein champ,,3,3,7,31,35,5,,196,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0012,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail conservation — Ail de printemps sec.,
INRAE-MESCLUN-0013,Ail,Alliaceae,Allium sativum,Sous abri,,44,44,48,11,18,8,,147,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0013,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail frais — Ail d’automne vert.,
INRAE-MESCLUN-0014,Ail,Alliaceae,Allium sativum,Plein champ,,44,44,48,16,22,7,,175,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0014,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail frais — Ail d’automne vert.,
